id,name,district,area,type,address,lat,lng,founded,areaSqm,enterprises,focus,services,website,contact,description,source,landType,level,huanping,weifei,bsl,gmp,medical,lab,analyze,animal,pilot,utility,coldchain,fitout,subsidy,fund,talent,approval,metro,hospital,occupancy,operator,benchmark,rent,propertyFee,freeMonths,photos,leaseNote,location,height,highlight,delivery,advantage,tenants,updateTime,updateLog,areaNote,rentRange,fee_note,terms,bus,feeNote
wangjing-001,中国北京（望京）留学人员创业园 · 望京科技园,东湖街道,望京,科技孵化器,北京市朝阳区利泽中二路2号望京科技园,40.013,116.4739,1999,10.0,1100,数字经济|人工智能|生物医药|绿色能源,1+8一核多维孵化服务|政策赋能|产业赋能|金融赋能|国际赋能,http://www.wjpark.com/,010-84148066,始建于1999年，全国首批国家级科技企业孵化器，北京市第一家省部共建留创园，累计孵化企业1100+家，入选2025北京国际科技合作基地。,官网 wjpark.com；北京市中小企业服务地图（市经信局 2025-02）,A35,国家级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,14号线东湖渠站 / 15号线望京西站,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.0,10.4,2,,,,,,,,,,,,,,,,
jiuxianqiao-001,电子城科技园 · 国际电子总部,酒仙桥街道,酒仙桥,科技孵化器,北京市朝阳区酒仙桥路6号院,39.9738,116.4893,2005,12.0,420,集成电路|智能硬件|电子信息|工业AI,中试车间|供应链对接|上市辅导|知识产权服务,http://www.bez.com.cn/,010-64310000,中关村（朝阳）工业AI产业园核心，2025年度中关村特色产业园，聚集京东方等龙头生态。,朝阳区政府新闻（2026-03，中关村特色产业园授牌）；电子城集团公开资料,M1,省市级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,14号线将台站,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.2,10.9,2,,,,,,,,,,,,,,,,
chuange-001,创E+ 新一代信息技术产业孵化器,酒仙桥街道,酒仙桥,科技孵化器,北京市朝阳区酒仙桥南路5号院创E+社区,39.966,116.493,2015,2.0,150,新一代信息技术|数字经济,产业赋能|企业培训|资本对接|区域落地服务,,,2021年度国家级科技企业孵化器备案，服务科技企业超1500家。,朝阳区政府新闻（2022-04，国家级备案）；北京市中小企业服务地图,M1,国家级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,14号线酒仙桥站（在建）,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.0,10.4,2,,,,,,,,,,,,,,,,
putian-001,普天电子城科技孵化器（506孵化器）,将台地区,将台,科技孵化器,北京市朝阳区将台路5号院普天实业创新园,39.979,116.492,2012,10.0,200,电子信息|智能硬件|新一代信息技术,506云孵化平台|创业辅导|投融资|工商财税,http://www.506fhq.com/,400-060-5506,中国普天旗下国家级科技企业孵化器+国家级众创空间（工信部标准级2025）。,官网 506fhq.com；工信部标准级名单（2025-10）,M1,国家级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,14号线将台站,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,3.5,9.1,2,,,,,,,,,,,,,,,,
mudan-001,牡丹创新孵化器,酒仙桥街道,酒仙桥,科技孵化器,北京市朝阳区酒仙桥东路1号院8号楼,39.9732,116.494,2010,3.0,120,电子信息|智能制造,创业辅导|检测服务|政策申报,,,国家级科技企业孵化器，北京市中小企业创业创新示范基地。,北京市科委国家级孵化器名录；北京市中小企业服务地图,M1,国家级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,14号线将台站,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,3.8,9.9,2,,,,,,,,,,,,,,,,
hanhai-001,瀚海博智科技孵化器（瀚海国际小微企业基地）,酒仙桥街道,酒仙桥,科技孵化器,北京市朝阳区酒仙桥路13号院内6-5楼,39.975,116.493,2006,1.5,80,文化科技|跨境创新,跨境加速|投融资对接|导师辅导|国际园区网络,,185-1131-8410,瀚海控股集团旗下国家级孵化器，拥有五家国家级孵化器及海外科技园区网络。,北京市科委国家级孵化器名录；北京市孵化器名录（imaibj.cn）,M1,国家级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,14号线将台站,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.0,10.4,2,,,,,,,,,,,,,,,,
shidailingyu-001,时代凌宇科技孵化器,望京街道,望京,科技孵化器,北京市朝阳区容创路17号楼7层,39.971,116.484,2014,1.2,60,物联网|大数据|人工智能,Solink物联网产业资源平台|产业链+资本链服务|技术成果转化,,010-84148506,市级科技企业孵化器+国家备案众创空间，聚焦智慧城市物联网。,北京市科创服务网（ncsti.gov.cn）孵化器名录,M1,国家级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,14号线望京南站,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.0,10.4,2,,,,,,,,,,,,,,,,
lingshui-001,零秒创新空间,酒仙桥街道,酒仙桥,科技孵化器,北京市朝阳区酒仙桥路10号恒通商务园,39.9752,116.491,2017,1.8,90,数字经济|科技服务,全周期陪跑式孵化|政策申报辅导,,,2026年新获评北京市科技型企业孵化器。,北京市科创服务网新闻（2026-06 市级认定）,M1,省市级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,14号线将台站,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.2,10.9,2,,,,,,,,,,,,,,,,
rongxin-001,融新科技中心,来广营地区,来广营,科技孵化器,北京市朝阳区来广营西路8号,40.034,116.447,2017,5.6,150,节能环保|新能源|智能制造,检测实验室|中试基地|投融资服务,,010-84910000,北五环外科技园区，以新能源与智能制造为主要方向。（官网与资质待核实）,公开资料有限，待核实,M1,其他,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,13号线北苑站约2km,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,3.8,9.9,2,,,,,,,,,,,,,,,,
beichuang-001,北京创业大厦（北京高技术创业服务中心）,亚运村街道,奥体,科技孵化器,北京市朝阳区安翔北里11号创业大厦,39.981,116.39,2000,2.0,100,综合科技|中小企业培育,创业辅导|政策咨询|孵化培育,,,即北京创业大厦，工信部标准级科技企业孵化器（2025），北京市中小企业创业创新示范基地。,工信部标准级名单（2025-10）；北京市中小企业服务地图（市经信局）,B2,国家级,商务/办公业态,无,无,无,不适用,无,无,无,无,商务标准供电,无,精装办公/工位制,无专项补贴,投融资路演对接,无专项,不适用,8号线奥体中心站,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.5,11.7,2,,,,,,,,,,,,,,,,
